RPT DATE,RPT NUM.,RIG,WELL NAME,JOB,RIG SUPERV,RIG PHONE,CONTRACTOR,ELEVATION,SPUD DATE,DFS,DOL,MD,PRESENT OPERATIONS,ACTIVITY PLANNED,Report_title,index,FROM,TO,HRS,PHASE,CODE,NPT,OPERATIONS,MD/TVD,24 HR FTG,HRS DRLG
 01/02/2021,75, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent," Leroy S, , Paul S, Duane W, Virgil W.", 281-854-6858, Frontier Drilling,5415.1, 10/30/2020,64.0,74,10987.0, CIRCULATING FOR TEMPERATURE," CEMENT 7"" CASING, NIPPLE DOWN BOPE, INSTALL WELLHEAD, NIPPLE UP BOPE ON 7"" AND TEST",Utah_Forge_FORGE_16A_(78)-32_Drilling-C_01022021_01022021_14_reporttmp.pdf,49,19:30,06:00,10.5,Production Drilling,Cond Mud & Circ,,Circulate for temperature,,,
 01/03/2021,76, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent," Leroy S, Duane W, Virgil W.", 281-854-6858, Frontier Drilling,5415.1, 10/30/2020,65.0,75,10987.0, WAITING ON CEMENT.  NIPPLE DOWN BOP STACK," WAIT ON CEMENT, NIPPLE DOWN BOPE, INSTALL WELLHEAD, NIPPLE UP 10K COMPLETION STACK",Utah_Forge_FORGE_16A_(78)-32_Drilling-C_01032021_01032021_15_1_reporttmp.pdf,45,06:00,16:00,10.0,Production Casing,Cond Mud & Circ,,"Circulate hole for temperature
Hold safety meeting with Resource Cementing, Frontier Drilling and FORGE DSM's.",,,
 01/03/2021,76, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent," Leroy S, Duane W, Virgil W.", 281-854-6858, Frontier Drilling,5415.1, 10/30/2020,65.0,75,10987.0, WAITING ON CEMENT.  NIPPLE DOWN BOP STACK," WAIT ON CEMENT, NIPPLE DOWN BOPE, INSTALL WELLHEAD, NIPPLE UP 10K COMPLETION STACK",Utah_Forge_FORGE_16A_(78)-32_Drilling-C_01032021_01032021_15_1_reporttmp.pdf,46,16:00,21:30,5.5,Production Casing,Run Csg & Cement,,"Cement 7"" casing;  
Test lines to 5,000 psi
Pump 100 bbl fresh water spacer at 5-7 bbl/min,  20 bbl RC Mud Clean,  30 bbl of 10.5 ppg Sepiolite spacer,  5 
bbl fresh water spacer.
Mix and pump 433 bbls of 12.97 ppg RC ThermaLite-HT cement at 7-8 bbl/min,  shut down and drop top plug.
Displace with 364 bbl of mud at 3 - 8 bbl/min.  Slow rate to 1-2 bbl/min to bump plug.  Hold pressure for 5 
minutes.
Bleed off pressure,  floats held.  Returned 15 bbl of cement to surface.  Reciprocated pipe throughout job.
Rig down Resource Cementing",,,
 01/03/2021,76, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent," Leroy S, Duane W, Virgil W.", 281-854-6858, Frontier Drilling,5415.1, 10/30/2020,65.0,75,10987.0, WAITING ON CEMENT.  NIPPLE DOWN BOP STACK," WAIT ON CEMENT, NIPPLE DOWN BOPE, INSTALL WELLHEAD, NIPPLE UP 10K COMPLETION STACK",Utah_Forge_FORGE_16A_(78)-32_Drilling-C_01032021_01032021_15_1_reporttmp.pdf,47,21:30,06:00,8.5,Production Casing,Wait on Cement,,Wait on cement.  4 bolt BOP stack,,,
 10/22/2020,3, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent," Duane C Winkler , Leroy Swearingen",, Frontier Drilling,5415.1,,,2,, RIGGING UP WITH FRONTIER CREWS AND SUPERVISION AND JW JONES TRUCKING, CONTINUE RIGGING UP WITH FRONTIER CREWS AND SUPERVISION AND JW JONES TRUCKING,Utah_Forge_FORGE_16A_(78)-32_Drilling-C_10222020_10222020_19_reporttmp.pdf,45,06:00,07:00,1.0,Rig Move In,,,No Activity.,,,
 10/22/2020,3, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent," Duane C Winkler , Leroy Swearingen",, Frontier Drilling,5415.1,,,2,, RIGGING UP WITH FRONTIER CREWS AND SUPERVISION AND JW JONES TRUCKING, CONTINUE RIGGING UP WITH FRONTIER CREWS AND SUPERVISION AND JW JONES TRUCKING,Utah_Forge_FORGE_16A_(78)-32_Drilling-C_10222020_10222020_19_reporttmp.pdf,46,07:00,07:30,0.5,Rig Move In,Rig Up & Tear Down,,"Safety meeting with Forge Supt. Duane Winkler, Forge DSM Leroy Swearingen, Frontier Drilling and JW Jones 
Trucking.",,,
 10/22/2020,3, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent," Duane C Winkler , Leroy Swearingen",, Frontier Drilling,5415.1,,,2,, RIGGING UP WITH FRONTIER CREWS AND SUPERVISION AND JW JONES TRUCKING, CONTINUE RIGGING UP WITH FRONTIER CREWS AND SUPERVISION AND JW JONES TRUCKING,Utah_Forge_FORGE_16A_(78)-32_Drilling-C_10222020_10222020_19_reporttmp.pdf,47,07:30,17:00,9.5,Rig Move In,Rig Up & Tear Down,,"Rigging up with Frontier personnel; 2 Superintendents, 2 Rig Managers, 12 crew members, 1 telehandler, 2 pole 
trucks, 2 bed trucks, 2 haul trucks and 2 cranes.  Received 2 loads of drill pipe on location.
Other equipment and personnel on location included fuel truck, 3 water trucks and a skid steer operator 
building containment.
Stacked subs, assembled derrick, set fuel tanks, set doghouse on floor, rig up mud tanks, set walkways and begin 
stringing electrical lines.
Rig is 100% on location.  Approximately 40% rigged up.",,,
 10/22/2020,3, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent," Duane C Winkler , Leroy Swearingen",, Frontier Drilling,5415.1,,,2,, RIGGING UP WITH FRONTIER CREWS AND SUPERVISION AND JW JONES TRUCKING, CONTINUE RIGGING UP WITH FRONTIER CREWS AND SUPERVISION AND JW JONES TRUCKING,Utah_Forge_FORGE_16A_(78)-32_Drilling-C_10222020_10222020_19_reporttmp.pdf,48,17:00,06:00,13.0,Rig Move In,Rig Up & Tear Down,,"Shut Down For Night, (SDFN)",,,
 10/23/2020,4, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent, Leroy Swearingen / Duane C Winkler,, Frontier Drilling,5415.1,,,3,, RIGGING UP WITH FRONTIER DRILLING SUPERVISION AND CREWS, CONTINUE RIGGING UP WITH FRONTIER DRILLING SUPERVISION AND CREWS,Utah_Forge_FORGE_16A_(78)-32_Drilling-C_10232020_10232020_26_reporttmp.pdf,45,06:00,07:00,1.0,Rig Move In,Rig Up & Tear Down,,No Activity.  Wait on daylight.,,,
 10/23/2020,4, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent, Leroy Swearingen / Duane C Winkler,, Frontier Drilling,5415.1,,,3,, RIGGING UP WITH FRONTIER DRILLING SUPERVISION AND CREWS, CONTINUE RIGGING UP WITH FRONTIER DRILLING SUPERVISION AND CREWS,Utah_Forge_FORGE_16A_(78)-32_Drilling-C_10232020_10232020_26_reporttmp.pdf,46,07:00,07:30,0.5,Rig Move In,Other,,"Safety meeting with FORGE Supt. Duane Winkler, FORGE DSM Leroy Swearingen, Frontier Drilling and RW Jones 
Trucking.",,,
 10/23/2020,4, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent, Leroy Swearingen / Duane C Winkler,, Frontier Drilling,5415.1,,,3,, RIGGING UP WITH FRONTIER DRILLING SUPERVISION AND CREWS, CONTINUE RIGGING UP WITH FRONTIER DRILLING SUPERVISION AND CREWS,Utah_Forge_FORGE_16A_(78)-32_Drilling-C_10232020_10232020_26_reporttmp.pdf,47,07:30,17:00,9.5,Rig Move In,Rig Up & Tear Down,,"Rigging up with Frontier Personnel; 2 Superintendents, 1 Rig Manager, 12 crew members, 2 cranes and1 forklift.
Other equipment and personnel on location included 1 fuel truck, 3 water trucks, 1 Frontier haul truck with 
collars and choke manifold, 2 haul trucks with solids control equipment and 2 solids control personnel.  Also 
Stuart Coleman and Lauralee Simano with Chevron to tour the rig.
Finish putting derrick together, string up blocks and set derrick on floor.  Raise A-legs, hook up mud lines, 
complete running electrical lines and set stairs to floor. Begin rigging up gas buster and flare lines.  Begin putting 
up wind walls.  Work on rig generators.
Rig floor is 50% rigged up, mud pits are 100% rigged up, back yard is 65% rigged up.
Did a 30 minute walk around and tour with Chevron personnel.",,,
 10/23/2020,4, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent, Leroy Swearingen / Duane C Winkler,, Frontier Drilling,5415.1,,,3,, RIGGING UP WITH FRONTIER DRILLING SUPERVISION AND CREWS, CONTINUE RIGGING UP WITH FRONTIER DRILLING SUPERVISION AND CREWS,Utah_Forge_FORGE_16A_(78)-32_Drilling-C_10232020_10232020_26_reporttmp.pdf,48,17:00,06:00,13.0,Rig Move In,Rig Up & Tear Down,,SDFN (Shut Down For Night),,,
 10/24/2020,5, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent, Leroy Swearingen / Duane C Winkler,, Frontier Drilling,5415.1,,,4,, RIGGING UP WITH FRONTIER DRILLING, RAISE DERRICK.  CONTINUE RIGGING UP,Utah_Forge_FORGE_16A_(78)-32_Drilling-C_10242020_10242020_17_reporttmp.pdf,45,06:00,07:00,1.0,Rig Move In,Rig Up & Tear Down,,No Activity.  Wait on daylight.,,,
 10/24/2020,5, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent, Leroy Swearingen / Duane C Winkler,, Frontier Drilling,5415.1,,,4,, RIGGING UP WITH FRONTIER DRILLING, RAISE DERRICK.  CONTINUE RIGGING UP,Utah_Forge_FORGE_16A_(78)-32_Drilling-C_10242020_10242020_17_reporttmp.pdf,46,07:00,07:30,0.5,Rig Move In,Rig Up & Tear Down,,"Safety meeting with FORGE DSM Leroy Swearingen, Frontier Drilling, RW Jones Trucking and DCT personnel.",,,
 10/24/2020,5, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent, Leroy Swearingen / Duane C Winkler,, Frontier Drilling,5415.1,,,4,, RIGGING UP WITH FRONTIER DRILLING, RAISE DERRICK.  CONTINUE RIGGING UP,Utah_Forge_FORGE_16A_(78)-32_Drilling-C_10242020_10242020_17_reporttmp.pdf,47,07:30,18:00,10.5,Rig Move In,Rig Up & Tear Down,,"Rigging up with Frontier Drilling personnel; 1 Superintendent, 1 Rig Manager, 12 crew members, 2 Rig Watch, 1 
crane operator, 1 welder, 1 mud logger, 2 solids control and 2 cooler personnel.
Set in solids control and bead recovery system.  DCT personnel rigging up centrifuges, bead recovery and 
dewatering.  Drill Cool mud coolers on location at 11:00 a.m.  Pick and set with crane. Drill Cool personnel 
rigging up coolers.  Set in mud logger trailer. Nabors personnel installing Rig Watch computers and monitors.
Get generators running and power to rig, spool drilling line on drawworks, hook up mud lines, install hurricane 
bar in board, hook up steam lines to boiler, continue bolting up flare line, set pipe handler on floor.
Prepare to raise derrick in a.m.
Received 1 truck load of drill collars
All trucks and cranes have been released.
Rig 65% rigged up.",,,
 10/24/2020,5, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent, Leroy Swearingen / Duane C Winkler,, Frontier Drilling,5415.1,,,4,, RIGGING UP WITH FRONTIER DRILLING, RAISE DERRICK.  CONTINUE RIGGING UP,Utah_Forge_FORGE_16A_(78)-32_Drilling-C_10242020_10242020_17_reporttmp.pdf,48,18:00,06:00,12.0,Rig Move In,Rig Up & Tear Down,,SDFN (Shut Down For Night).,,,
 10/25/2020,6, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent, Leroy Swearingen,, Frontier Drilling,5415.1,,,5,, RIGGING UP WITH FRONTIER DRILLING," CONTINUE RIGGING UP WITH FRONTIER, NABORS AND DCT",Utah_Forge_FORGE_16A_(78)-32_Drilling-C_10252020_10252020_24_reporttmp.pdf,45,06:00,07:00,1.0,Rig Move In,Rig Up & Tear Down,,No Activity,,,
 10/25/2020,6, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent, Leroy Swearingen,, Frontier Drilling,5415.1,,,5,, RIGGING UP WITH FRONTIER DRILLING," CONTINUE RIGGING UP WITH FRONTIER, NABORS AND DCT",Utah_Forge_FORGE_16A_(78)-32_Drilling-C_10252020_10252020_24_reporttmp.pdf,46,07:00,07:30,0.5,Rig Move In,Rig Up & Tear Down,,"Safety meeting with FORGE DSM Leroy Swearingen, Frontier Drilling and DCT.",,,
 10/25/2020,6, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent, Leroy Swearingen,, Frontier Drilling,5415.1,,,5,, RIGGING UP WITH FRONTIER DRILLING," CONTINUE RIGGING UP WITH FRONTIER, NABORS AND DCT",Utah_Forge_FORGE_16A_(78)-32_Drilling-C_10252020_10252020_24_reporttmp.pdf,47,07:30,20:00,12.5,Rig Move In,Rig Up & Tear Down,,"Rigging up with Frontier Drilling; 1 Superintendent, 1 Rig Manager, 12 crew members, 2 Rig Watch, 2 solids 
control and 2 cooler personnel.
Fire up generators and put online.  Prepare derrick to be raised. Raise derrick at 9:00 a.m. and pin. Set catwalk.  
Install top drive in derrick.  Rig up top drive.
Nabors RigWatch finished installing workstations in shacks. Began rigging up panel on floor.
Fill rig tank and boiler with water.
Received 2 loads of 13 3/8"" casing, float equipment and centralizers.
Received 17 1/2"" surface bits.
Rig is 75% rigged up.",,,
 10/25/2020,6, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent, Leroy Swearingen,, Frontier Drilling,5415.1,,,5,, RIGGING UP WITH FRONTIER DRILLING," CONTINUE RIGGING UP WITH FRONTIER, NABORS AND DCT",Utah_Forge_FORGE_16A_(78)-32_Drilling-C_10252020_10252020_24_reporttmp.pdf,48,20:00,06:00,10.0,Rig Move In,Rig Up & Tear Down,,SDFN (Shut Down For Night),,,
 10/26/2020,7, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent," Leroy Swearingen , Bob Frank",, Frontier Drilling,5415.1,,,6,, Rigging up with Frontier Drilling, Continue  Rigging up with Frontier,Utah_Forge_FORGE_16A_(78)-32_Drilling-C_10262020_10262020_15_reporttmp.pdf,45,06:00,07:00,1.0,Rig Move In,Rig Up & Tear Down,,No activity,,,
 10/26/2020,7, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent," Leroy Swearingen , Bob Frank",, Frontier Drilling,5415.1,,,6,, Rigging up with Frontier Drilling, Continue  Rigging up with Frontier,Utah_Forge_FORGE_16A_(78)-32_Drilling-C_10262020_10262020_15_reporttmp.pdf,46,07:00,07:30,0.5,Rig Move In,Rig Up & Tear Down,,"Safety meeting with FORGE DSM's Leroy Swearingen , Bob Frank,  Frontier Drilling and DCT",,,
 10/26/2020,7, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent," Leroy Swearingen , Bob Frank",, Frontier Drilling,5415.1,,,6,, Rigging up with Frontier Drilling, Continue  Rigging up with Frontier,Utah_Forge_FORGE_16A_(78)-32_Drilling-C_10262020_10262020_15_reporttmp.pdf,47,07:30,19:30,12.0,Rig Move In,Rig Up & Tear Down,,"Rigging up with Frontier Drilling: 2 Superintendents, 2 Rig Managers, 12 Crew members, 2 Rig Watch, 2 solids 
control
Fire up generators,  Fire up boiler, Install heaters on floor, hook up steam lines to all heaters.  Bleed  boiler lines 
to get out water pockets. Continue hooking up air , water, and electric lines.
Put water in mud pits, repair leak in interior pit wall, run pumps, and top drive under light load function testing  
systems and electrical loading.  Re-align cuttings trough, test rotation on solids control equipment. Solids control 
rigged up. 
Install flow sensor mounting bracket in flow line.  Drain pumps of fresh water, blow  out heater lines , and turn 
off boiler.  Nabors Rig watch rigged up. Scout Directional employee arrived on location late evening. Scout 
equipment to be delivered Tuesday.
Rig is 90 % rigged up.",,,
 10/26/2020,7, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent," Leroy Swearingen , Bob Frank",, Frontier Drilling,5415.1,,,6,, Rigging up with Frontier Drilling, Continue  Rigging up with Frontier,Utah_Forge_FORGE_16A_(78)-32_Drilling-C_10262020_10262020_15_reporttmp.pdf,48,19:30,06:00,10.5,Rig Move In,Rig Up & Tear Down,,SDFN (Shut down for night),,,
 10/27/2020,8, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent," Leroy Swearingen , Bob Frank",, Frontier Drilling,5415.1,,,7,, Rigging Up with Frontier Drilling," Install conductor riser,  Commissioning Test of all systems under continuous light load, Break Tour tonight start 24 hour operations",Utah_Forge_FORGE_16A_(78)-32_Drilling-C_10272020_10272020_15_reporttmp.pdf,45,06:00,07:00,1.0,Rig Move In,Rig Up & Tear Down,,No activity,,,
 10/27/2020,8, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent," Leroy Swearingen , Bob Frank",, Frontier Drilling,5415.1,,,7,, Rigging Up with Frontier Drilling," Install conductor riser,  Commissioning Test of all systems under continuous light load, Break Tour tonight start 24 hour operations",Utah_Forge_FORGE_16A_(78)-32_Drilling-C_10272020_10272020_15_reporttmp.pdf,46,07:00,07:30,0.5,Rig Move In,Rig Up & Tear Down,,"Safety Meeting with FORGE DSM's Leroy Swearingen, Bob Frank, Frontier Drilling, and DCT",,,
 10/27/2020,8, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent," Leroy Swearingen , Bob Frank",, Frontier Drilling,5415.1,,,7,, Rigging Up with Frontier Drilling," Install conductor riser,  Commissioning Test of all systems under continuous light load, Break Tour tonight start 24 hour operations",Utah_Forge_FORGE_16A_(78)-32_Drilling-C_10272020_10272020_15_reporttmp.pdf,47,07:30,19:30,12.0,Rig Move In,Rig Up & Tear Down,,"Rigging Up with  Frontier Drilling: 1 Superintendent, 2 Rig  managers, 12 crew members, 2 solids Control, 1 
Scout, 1 Welder. Fire up generators, Fire up boiler. Clean  fuel mister on boiler to allow better combustion.  
Flowline built, Conductor riser built, fill up and drain line access installed. on conductor. Rotating head  assembly 
built. Hand turn buckles in substructure to secure conductor pipe riser.  Check electrical, water, and air 
confections. Blow out pumps. Notified State Engineer of spud by submitting the Start Card . Nabors Rig watch 
installed and operational.",,,
 10/27/2020,8, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent," Leroy Swearingen , Bob Frank",, Frontier Drilling,5415.1,,,7,, Rigging Up with Frontier Drilling," Install conductor riser,  Commissioning Test of all systems under continuous light load, Break Tour tonight start 24 hour operations",Utah_Forge_FORGE_16A_(78)-32_Drilling-C_10272020_10272020_15_reporttmp.pdf,48,19:30,06:00,10.5,Rig Move In,Rig Up & Tear Down,,SDFN (shut down for night),,,
 10/28/2020,9, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent," Leroy Swearingen , Bob Frank",, Frontier Drilling,5415.1,,,8,," Setting surface casing on pipe racks, commission rig, rigging up floor"," Complete RU,  Rig Inspection,  Clean and drift surface casing.pre-spud meeting",Utah_Forge_FORGE_16A_(78)-32_Drilling-C_10282020_10282020_3_reporttmp.pdf,45,06:00,07:00,1.0,Rig Move In,Rig Up & Tear Down,,No Activity,,,
 10/28/2020,9, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent," Leroy Swearingen , Bob Frank",, Frontier Drilling,5415.1,,,8,," Setting surface casing on pipe racks, commission rig, rigging up floor"," Complete RU,  Rig Inspection,  Clean and drift surface casing.pre-spud meeting",Utah_Forge_FORGE_16A_(78)-32_Drilling-C_10282020_10282020_3_reporttmp.pdf,46,07:00,07:30,0.5,Rig Move In,Rig Up & Tear Down,,"Safety Meeting with FORGE DSM, Frontier Drilling, and DCT",,,
